FIELD1,ds,yhat_lower,yhat_upper,yhat
197,1989-11-20,-3351.8132604293983,4774.617217987507,907.2336511390919
198,1989-11-21,-2991.7713800403963,5138.127796907336,915.1315308913905
199,1989-11-22,-3698.5968228004895,5181.479933304418,904.8042807918636
200,1989-11-23,-2779.445722277008,4929.306871299417,929.3545644155419
201,1989-11-28,-3022.426417784531,5083.935611685017,925.4519206213772
202,1989-11-29,-2981.1573535416533,5188.489553293972,914.9876773647795
203,1989-11-30,-3258.1057674378317,5072.569965491907,939.0956374418482
204,1989-12-01,-3283.974241609039,5127.254402973683,900.6848841008698
205,1989-12-04,-3593.650490306253,5316.837866622898,923.461578270435
206,1989-12-05,-2946.0618104051177,5001.692456790601,930.588243404187
207,1989-12-06,-3321.4441448159364,5364.366271958856,919.3095814127827
208,1989-12-07,-3353.684403768297,5053.659230724056,942.8627479733997
209,1989-12-08,-3207.136862015583,5038.285399985397,904.2550267336392
210,1989-12-12,-3358.2064917357457,5624.012022916584,938.6881528946841
211,1989-12-13,-3119.4407413135386,5230.614261150986,930.2078996118488
212,1989-12-14,-3169.518660509283,5294.939920817618,957.306221521286
213,1989-12-15,-3309.8126943402262,4994.39437523887,922.9974130800715
214,1989-12-18,-3283.681150930446,5448.45960069276,965.3906804759536
215,1989-12-19,-3062.3158508243378,4973.126129239463,981.5461342610408
216,1989-12-20,-3150.34967752288,5536.223183018493,980.4791265969029
217,1989-12-21,-3300.956988292775,5132.040825766103,1015.333938589298
218,1989-12-22,-2974.71790209202,5196.00152942603,988.9880764861579
219,1990-01-01,-3058.13446342648,5480.4807623093075,1176.3391627291817
220,1990-01-02,-3015.4451146217652,5533.320642312315,1199.4641541949218
221,1990-01-03,-2953.4995376744055,5273.854168589742,1203.2750064972763
222,1990-01-04,-2980.1430869864444,5506.902495875314,1240.718735805285
223,1990-01-05,-2974.168910350585,5375.0379227858675,1214.514414761058
224,1990-01-08,-2798.8754958863997,5515.391252204824,1265.310287848123
225,1990-01-09,-2938.514601268193,5473.945649400956,1278.3504591065482
226,1990-01-10,-2571.9683085820934,5076.322070106911,1271.0282321044845
227,1990-01-11,-3038.2104969141487,5199.25421641458,1296.4624989500082
228,1990-01-15,-3141.0152363865777,5155.357233455296,1268.3366488022784
229,1990-01-16,-2863.7323498152323,5484.141009047189,1268.1507176776981
230,1990-01-17,-2740.4743813695704,5609.1711366119525,1248.0471708805992
231,1990-01-18,-2787.2244938137887,5722.1664513458245,1261.3697307347277
232,1990-01-19,-2446.9875706647754,5339.87323358109,1211.2430654538284
233,1990-01-22,-2996.015651303227,5219.327955461807,1195.4722413901404
234,1990-01-23,-2936.501634539959,5524.387534427254,1189.315760534707
235,1990-01-24,-3105.4054822300714,5295.370593383759,1164.8546329273388
236,1990-01-25,-2852.4894555800697,5494.256256598552,1175.4878791997678
237,1990-01-30,-2800.2164861144192,5284.156890225232,1114.4562466738137
238,1990-01-31,-3573.657178313579,4992.862045132592,1096.4934330210467
239,1990-02-01,-2710.400831791686,5308.626523582903,1114.7072840934482
240,1990-02-02,-2936.948302255779,5056.3675532235475,1072.039325142696
241,1990-02-06,-3179.310772744798,5531.243113721137,1100.117198260664
242,1990-02-07,-3401.489045253164,5382.549304197221,1091.4471231157333
243,1990-02-08,-2870.6236571165555,5374.968970307009,1118.3768938571495
244,1990-02-12,-3064.8059798692193,5114.79782506506,1119.798149672725
245,1990-02-13,-2880.1372624294586,5251.380268069489,1131.2454904402719
246,1990-02-14,-3088.753570581383,5202.899926857656,1123.6823273260982
247,1990-02-15,-2901.873747975729,5393.89704036899,1150.0122944527393
248,1990-02-16,-3040.5707465078467,5533.895192317487,1112.909010035339
249,1990-02-19,-2961.3711591071847,5498.269155646545,1131.8305720008102
250,1990-02-20,-3010.450084616645,5321.561652717712,1134.3670394722415
251,1990-02-21,-3065.9249118751222,5291.421018565429,1116.5291447931509
252,1990-02-22,-2883.911745748091,5291.8397020361745,1131.3963866662514
253,1990-02-26,-2929.217863447002,5114.851496924557,1059.8485674180915
254,1990-02-28,-2803.8175468965574,5167.178888814436,1016.8603153994078
255,1990-03-01,-3562.6035862401095,4909.462287591317,1018.5589824284657
256,1990-03-02,-2940.9971562343717,5056.469375273799,956.6354121338535
257,1990-03-05,-3301.0662430185416,5045.18435756973,904.6647239551708
258,1990-03-06,-3594.6901159837876,4689.693544557805,886.2952602135705
259,1990-03-07,-3211.0749025403043,5202.84768231242,849.6340382075972
260,1990-03-08,-3368.594120393355,4731.608689563006,848.1465618861587
261,1990-03-09,-3762.2543538301047,4898.930231583269,785.0537206771842
262,1990-03-13,-3487.7275381083464,4839.847812457135,730.6923199460141
263,1990-03-14,-3828.103292733307,4625.324892893549,702.9985371693588
264,1990-03-15,-3465.6515625468423,4945.4802783387,712.2709563263556
265,1990-03-16,-3504.4507535898965,5098.49695247463,661.5772037523022
266,1990-03-19,-3435.996365392795,4864.428130849877,663.6472484952956
267,1990-03-20,-3302.639188797978,5025.887170539462,669.2634460014644
268,1990-03-21,-3532.198582590153,4979.289114502308,659.0425662938037
269,1990-03-22,-3235.253769807319,4788.671882120121,686.068038802446
270,1990-03-23,-3451.273861034673,4941.222983626604,653.1458361853248
271,1990-03-26,-3176.1962867097745,4983.860775758735,706.0750775896743
272,1990-03-28,-3653.437955310073,4605.5394812207005,730.9380779681835
273,1990-03-29,-3474.3658321776793,4591.132500494748,770.7319144577729
274,1990-03-30,-3231.5474492330545,4906.173692750602,749.0353001118863
275,1990-04-02,-3312.1234968872905,5048.124142054128,825.0975341665784
276,1990-04-04,-3315.453954995952,5037.756317115942,855.8136665110551
277,1990-04-05,-3335.1117236502396,4790.849868166783,895.5861314285164
278,1990-04-06,-3222.3059526187944,5363.429521621585,871.9384176412817
279,1990-04-09,-3192.6052558565407,4987.021473633729,931.3298480829089
280,1990-04-10,-3149.6965463760207,5232.273447033264,947.4007972759372
281,1990-04-12,-3348.4347213223264,4803.922468110867,971.5588757926777
282,1990-04-17,-3119.318060150028,4969.14891949533,955.9678139142125
283,1990-04-18,-3073.27009217019,4627.3814166601505,937.5662673858398
284,1990-04-19,-3274.622717154477,5102.198611956862,952.1795317841589
285,1990-04-20,-2829.706179136443,5344.608763698199,902.8788802418775
286,1990-04-23,-3349.6046054932854,4828.900103578519,886.3355117876991
287,1990-04-24,-3307.9229681327092,4866.129928858466,878.7207265783608
288,1990-04-25,-3453.238923838353,5163.264059848925,852.1673814686169
289,1990-04-30,-3005.9368704901003,4925.888278831636,783.2242337411955
290,1990-05-02,-4057.2728917290074,4903.098608077297,753.3283582595272
291,1990-05-03,-3266.7485188404216,4912.037091631936,765.7120984908048
292,1990-05-04,-3394.432011895952,4841.591208800831,717.172712355822
293,1990-05-07,-3388.6792364107823,5408.391657727828,720.2359312541251
294,1990-05-08,-3519.7992666223086,4679.2502333460425,724.5094926373007
295,1990-05-10,-3514.78334817252,4967.36060789866,736.4985309717329
296,1990-05-11,-3203.79343948358,4873.576998217541,700.2610536332436
297,1990-05-14,-3495.8260617287638,5227.943317272397,740.68805657653
298,1990-05-15,-3136.8585945850473,4655.00255824817,756.9290536104533
299,1990-05-17,-3353.337898649354,4692.761564597864,791.0281485197122
300,1990-05-18,-3554.1745506383922,4817.048418439135,764.6039743979075
301,1990-05-21,-3487.1627143113083,4902.956841183117,827.8495339452642
302,1990-05-22,-3482.6240023978853,4991.869780514351,849.1396464404837
303,1990-05-23,-3102.74977796027,4899.0324168060215,851.9067256141935
304,1990-05-24,-2883.3887749804785,5109.541600248256,889.1004004045352
305,1990-05-25,-3505.444350460955,5193.070024970299,863.4375203991611
306,1990-05-28,-3287.8904231256697,5170.81018881886,920.491229217361
307,1990-05-29,-2959.5449226612254,4801.61140082392,937.08643002957
308,1990-05-30,-3115.7014350851387,5121.275392039428,933.9954423975012
309,1990-05-31,-3289.6254694383183,5223.233453465812,964.2890848838348
310,1990-06-01,-3213.7235878075267,5035.583029343668,930.8223864311198
311,1990-06-04,-3313.4698848095513,5278.22329496058,960.6249869782425
312,1990-06-05,-3145.1830309925926,5164.031959104677,967.4313795148212
313,1990-06-06,-3161.455875098995,5076.345190234388,954.4992088203951
314,1990-06-07,-3091.4861070578427,5345.997147666658,975.0803695700079
315,1990-06-11,-3354.162097350095,5271.922533050367,937.275783980571
316,1990-06-12,-2982.0110988458187,5097.673836849854,937.4888925734592
317,1990-06-13,-3117.869161635637,5048.4487781246635,918.9947670807499
318,1990-06-14,-3366.868582452435,4918.139876868094,935.1408281366366
319,1990-06-15,-3289.3609317257556,5331.786533006354,889.0340111222348
320,1990-06-18,-3639.482384570577,4836.369327097134,892.0252149959103
321,1990-06-19,-3468.5096248044542,5374.715935182687,894.1113968258758
322,1990-06-20,-3398.7179064692273,4868.010573060678,878.7293011881872
323,1990-06-21,-3079.9916621267607,4977.181209982972,899.1680288457119
324,1990-06-22,-3337.0835943494526,5093.122930277384,858.4566632809751
325,1990-06-25,-3211.8631250331873,4989.28387702107,883.6519726214672
326,1990-06-26,-3124.683364102278,4886.271038149174,894.5883812451847
327,1990-06-27,-3159.751709981359,4865.89378224429,888.5491430573759
328,1990-06-28,-3434.150672528078,5036.990505832628,918.6747606888046
329,1990-06-29,-3320.512211562895,5233.758056896999,887.8433327634299
330,1990-07-03,-3206.0906183393927,5042.412515025752,961.8995495270141
331,1990-07-05,-3387.9046339392426,5236.298085523798,1002.4586121761458
332,1990-07-06,-3530.1646875678184,5245.953526139441,978.8451368343603
333,1990-07-09,-3189.9539338981044,5135.382624451401,1049.5632764832915
334,1990-07-10,-3021.6323362332287,5455.432881089624,1073.2594820247834
335,1990-07-11,-3146.203652829303,5283.791374682618,1078.5179833844134
336,1990-07-12,-3250.392654005751,5328.080318803148,1118.367860873195
337,1990-07-13,-3139.744186844631,5502.502775755409,1095.6048351504498
338,1990-07-16,-3042.469562710978,5232.827312373157,1163.5599452442746
339,1990-07-17,-2939.1168949086523,5151.238512401929,1184.7397190576894
340,1990-07-18,-2903.192563155852,5321.332885389712,1186.7956088134677
341,1990-07-19,-2724.1882720623794,5219.968794088676,1222.8340289905966
342,1990-07-20,-2729.941534322106,5291.204561846908,1195.732443950375
343,1990-07-25,-2801.1600499429373,5280.981656809284,1260.2760671833773
344,1990-07-26,-2881.837794713695,5469.712700104609,1290.5640517340207
345,1990-07-27,-3004.6600213856623,5446.870500743071,1257.744074085256
346,1990-07-30,-2944.616082952894,5615.270750370048,1294.0002555141944
347,1990-08-03,-2671.993383022882,5481.177949991684,1285.057744359261
348,1990-08-07,-3311.3328481682493,5383.17973354643,1319.0009818147348
349,1990-08-08,-2890.3446479757517,5660.667805537668,1308.3037921081927
350,1990-08-09,-2717.201050046633,5580.965286223838,1332.2306789209304
351,1990-08-10,-2714.8565022462963,5205.142971392561,1293.7469833952323
352,1990-08-13,-2892.0309160176416,5357.739376877659,1317.280198859969
353,1990-08-16,-2450.323958686081,5553.051702109266,1338.8943158185648
354,1990-08-17,-2868.0848374512893,5335.006372210978,1301.197781277228
355,1990-08-20,-2614.4523217241745,5239.345336759716,1328.759571351439
356,1990-08-21,-2786.8488960144728,5795.261353415098,1338.3286045115547
357,1990-08-22,-2779.495987031686,5186.135200831529,1329.8516650605895
358,1990-08-23,-2571.907716778849,5481.635459181874,1356.4993832514522
359,1990-08-27,-2535.1445462017928,5513.012256197143,1356.5238039761616
360,1990-08-28,-2667.3092272886984,5558.417408350174,1368.746060265925
361,1990-08-29,-3004.5720397894243,5385.774761837439,1362.8808050838484
362,1990-08-30,-2751.767335337468,5455.598002599941,1392.0508919165293
363,1990-09-03,-2903.7620957699487,5302.718908607027,1400.2822422731972
364,1990-09-04,-2578.8268161507103,5648.027360471944,1413.8428519354666
365,1990-09-05,-2673.8880682161384,5653.832938007261,1408.9413242327162
366,1990-09-06,-2659.432880836823,5968.171146181112,1438.6629900820667
367,1990-09-07,-2658.5537479382256,5582.141411035902,1405.8503894989697
368,1990-09-10,-2574.9992245053313,5364.550942060103,1444.4574530232865
369,1990-09-11,-2717.984800153467,5564.379072854602,1456.188353652536
370,1990-09-12,-2417.04542068979,5644.744800097376,1448.977573832343
371,1990-09-14,-2618.95816603342,5618.534134985198,1439.9274576278362
372,1990-09-18,-3014.6450681972037,5680.444595961001,1474.2250871458452
373,1990-09-19,-2635.0499561917395,5759.021180929182,1462.5064972554405
374,1990-09-20,-2518.9739030722662,6073.165769443835,1484.905820690259
375,1990-09-21,-2783.607430868044,5452.961762282644,1444.381155593567
376,1990-09-25,-2821.61292874589,5568.261655118366,1462.6406470454556
377,1990-09-26,-2635.4798161891217,5498.143719420826,1447.8207367876553
378,1990-09-27,-2912.294768175996,5445.672979796615,1467.6212370193498
379,1990-10-04,-2539.9716129739263,5210.49161960258,1449.2594421541635
380,1990-10-09,-2457.6345644349226,5731.331497816841,1439.2267089843308
381,1990-10-11,-2847.869314845749,5316.743855252972,1455.6200300223568
382,1990-10-12,-2594.755384471618,5630.129244023958,1419.7140431996443
383,1990-10-15,-2735.053081396352,5555.580446358645,1453.6992895585508
